datetime,ip_src,ip_dst,port_dst,proto,action,rule_id,interface
2026-03-02 17:54:33,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:34,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:35,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:36,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:37,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:38,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:39,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:40,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:41,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:42,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:43,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:44,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:45,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:46,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:47,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:48,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:49,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:50,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:51,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:52,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:53,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:54,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:55,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:56,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:57,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:58,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
2026-03-02 17:54:59,192.168.107.2,192.168.107.5,37356.0,TCP,Deny,999.0,eth0
